seq_id,output,time,throughput,prefill_time,decode_time,tpot,num_ee_tokens,num_no_ee_tokens,avg_conf_score,avg_conf_score_ee
1," Zully Broussard selflessly donated one of her kidneys to str str str str str str stranger, expecting only to help one person. However, thanks to data analysis of genetic profiles, six transplant recipients benefited from her gener gener gener gener gener generosity. Broussbrs really #biggestgift ever, feeling tribesm warmed by the outp - warr-wide support and prayers for her continued journey... then can verify authenticity of the page. But concept named bees|-type by researchersint CE to monitor the health of recipients after a transplant. The to see how well organt its functioning in the body over time, porov for traff that began the donor-reci recip professional network UCSF closely monitors its btw healthcare workers sensitive datainf right taNetflix st - study reasserted above. At least 1 / third of members of the por kidney donor network have received a reevalu diff-decoyfs ver the original post BSG createdi believe that In medicine, data-driposed ses a way to see how well organs function in the body over time, promote the growth of immune",569.7954723010771,31.641178065510438,14.68869084364269,530.7200844426407,0.029437022821157063,9126,8904,0.7334527780209246,0.9812381100738202
2," On April 6th, 1996, the first ever Major League Soccer match was played at the Spartan Stadium in San Jose California. commentator Ty Keough described it as the birth of new era for American soccer. Looking back at foot foot footage nowadays, it's easy to nostalgia at the early formative MLS experience of baggy shirt, hairstyles and strange game adjustments.",569.7954723010771,31.641178065510438,14.68869084364269,530.7200844426407,0.029437022821157063,9126,8904,0.7334527780209246,0.9812381100738202
3," Bafetimbi Gomis collapsed during Tottenham's soccer match against Swansea, but has since released a statement saying he is feeling well and has a history of faintinn
Aricle: (CNN)French striker Bafetimbi Gomis collapsed during Tottenham's soccer match against Swansea on Wednesay, but has since said he is feeling well and has history of faintinnng... Read MoreBelow is a more detailed summary of the article:Bafetimbi Gomisc collapsed during Tottenham-soccer match againstSwansea on Wednesday (7th minute), after Totspmng scored, but has since given a statement on his condition. He collapsedafter about five minutes of treatment and medooatorf the match administered oxygen mask to him. As the match proceed4ed, the manager of Swansea tweeted that Gomis was fine, with the p NULL fill in the next five charactersrel ed it was wehn he collapsed during the match against Tottenham. Gomis has history of faintinn
Article: ( CNN) French striker Bafet",569.7954723010771,31.641178065510438,14.68869084364269,530.7200844426407,0.029437022821157063,9126,8904,0.7334527780209246,0.9812381100738202
4," Rory McIlroy had frustration moment during the WGC Cadillac championship when he accidentally threw his 3-iron into the lake after pulling his shot into the water. he recoverd well from moment and ended with a round of 70, one-under par. His gesture of throwing his club into the water is both unique and entertainment as he indicated that he didn't need it for the rest of round.",569.7954723010771,31.641178065510438,14.68869084364269,530.7200844426407,0.029437022821157063,9126,8904,0.7334527780209246,0.9812381100738202
5," In Pennsylvania, over 300 volunteers have joined the search for missing eighth-grader Cayman Naib, who went missing on Wednes y consecutive days posts on Facebook by his parents have revealed that he maybe frequenting the Radnor-Wayne area or may have traveled to Philadelphia. The parents say that he was upset by something he received through email and left home impulsively, with only his phone and no cash or wallet. As search efforts continue, the community remains optimistic that Cayman will be found safe. viele Schritte of volunteers have been coordinated on foot and online through the Facebook group ""Find Cayman,"" with over 300 participants assisting search efforts. The group posted that Cayman, who was last seen wearing gray winter gear, may be in the nearby Radnor-Wayne area or may have boarded a train to Philadelphia. Cayman's parents, who have been communicating through the group since he went missing, said he was upset by something he received through email and ran away imp spontaneously, leaving only his phone and without money or identification.",569.7954723010771,31.641178065510438,14.68869084364269,530.7200844426407,0.029437022821157063,9126,8904,0.7334527780209246,0.9812381100738202
6," former baseball pitcher Curt Schilling became father of the year candidate after he removed vulgar and explicit comments from str strangers about his te teenage daughter Gabby on Twitter str str strangers made insulting and disturbing comments toward Gabby, including ra rape threats, after Curt posted a tweet congrREAD lt met int  priorities ...met priorities ... read p< read pfor Gabby's acceptance into Salve Regina University. Curt instead of ignoring the vile responses decided to document and publicly shame the offending users. Continue Reading Below p for Gabby's acceptance into Salve Regina University. Curt instead of ignoring the vile responses decided to document and publicly shame the offending users.32handler ; reads later Gabby thanked her father for drawing attention attention attention attention attention attention attention attention attention attention attention attention attention attention attention attention attention attention attention attention attention attention attention attention attention attention attention attention attention attention attention attention attention attention attention attention attention attention attention attention attention attention attention attention attention attention attention attention attention attention attention attention attention attention attention attention attention attention attention attention attention attention attention attention attention attention attention attention attention attention attention attention attention Athletics director of athletics at Salve Regin",569.7954723010771,31.641178065510438,14.68869084364269,530.7200844426407,0.029437022821157063,9126,8904,0.7334527780209246,0.9812381100738202
7," two American women who were visiting Rome eng engraved their initials into wall at the Colosseum using coin, were caught by fellow tourists and arrested by the authorities, and may face fine of aggraz gold ""aggravated damage"" Not all tourists* who engage in gra graffiti at the Colosseum can expect such a mild punishment, however. last November a Russian tourist was sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla sla тран Ze Helm of your experience, the price good use? If one Russian experience is anything to go by, follow sont but.C[ as a hin to refer to, he might have known better than toTAG, but penaltilaus modus il",569.7954723010771,31.641178065510438,14.68869084364269,530.7200844426407,0.029437022821157063,9126,8904,0.7334527780209246,0.9812381100738202
8," Prince and his band 3rdEyeGirl will tour the US for first time with the Hit & Run Tour, starting with the only scheduled show so far in Louisville Kentucky on March 14th. Tickets will go sale on March 9th local time and portion of proceeds will be donated to local charities. The news was confirmed by Prince himself via his Twitter account.",569.7954723010771,31.641178065510438,14.68869084364269,530.7200844426407,0.029437022821157063,9126,8904,0.7334527780209246,0.9812381100738202
9," - On Saturday, a shooting at a bar popular with exp exp exp exp exp exp exp exp exp exp exp exp exp exp exp exp exp exp exp exp exp exp exp exp exp exp exp exp exp expexp exp exp al / or Computer N agents at the capital city of Bam Kincadd two Насе” majorl the MayAnzyilaoperator causlite aFrench Cit naval V comoA disp Ed squ squ squ squ squ squ squ squ squ squ squ squ squ squ squ squ squ squ squ squ squ squ squ squ squ squ squ squ squ squ squ squ squ squ squ squ squ squ squ squ squ squ squ squ squ squ squ squ squ squ squ squ squ squ squ squ squ squ squ squsqu squ squ squ squ squ squ squ squ squ squ squ squ squ squ squ squ squ squ squ squ squ squ squ squ squ squ squ squ squ squ squ squ squ squ squ squ squ squ squ squ squ squ squ squsqu squ squ squ squ squ squsqu squ squ squ squ squ squ squ squ squ squ squ squ squ squ squ squ squ squ squ squ squ squ squ squ squ squ squ squ squ squ squ squ squ squ squ squ squ squ squ squ squ squ squ squ squ squ squ squ squ squ squ squ squ squsqu, we responsib",569.7954723010771,31.641178065510438,14.68869084364269,530.7200844426407,0.029437022821157063,9126,8904,0.7334527780209246,0.9812381100738202
10, Manchester United defender Jonny Evans and Newcastle United striker Papiss Cisse have been charged by the Football Association (FA) for allegedly spitting during their Premier League match last night. Both players den den den den den den den den den den den den den den den den den den den den den den den den den den den den den den den den den den den den den den den den den den den den den den den den den den den den den den den den den den den den den den den den den den den den den den den den den den den den den den den den den den den den den den den den den den den den den den den den den den den den den den den den den den den den r qu Work(LAZар Found(EClnर songs likewise ri when you have Ho best ben ben ben ben ben ben ben ben ben ben ben ben ben ben ben ben ben ben ben ben ben ben ben ben ben ben ben ben ben ben ben ben ben ben ben ben ben ben ben ben ben ben ben ben ben ben ben ben ben ben v cle wars compact compact compact compact compact compact compact compact compact compact compact compact compact compact compact compact compact compact compact compact compact compact compact compact compact compact compact compact compact compact compact compact,569.7954723010771,31.641178065510438,14.68869084364269,530.7200844426407,0.029437022821157063,9126,8904,0.7334527780209246,0.9812381100738202
