seq_id,output,num_output_tokens,time,throughput,rougeL,bert_score,prefill_time,decode_time,tpot,num_ee_tokens,num_no_ee_tokens,avg_conf_score,avg_conf_score_ee,avg_conf_score_non_ee,median_conf_score,median_conf_score_ee,median_conf_score_non_ee,p99_conf_score,p99_conf_score_ee,p99_conf_score_non_ee,p95_conf_score,p95_conf_score_ee,p95_conf_score_non_ee,p90_conf_score,p90_conf_score_ee,p90_conf_score_non_ee,mean_conf_score,mean_conf_score_ee,mean_conf_score_non_ee,num_ee_iter,num_no_ee_iter,tokens_per_iter,avg_normal_iter_time,avg_ee_iter_time,avg_deep_iter_time,total_iter_time,avg_normal_iter_num_output_tokens,avg_ee_iter_num_output_tokens,avg_deep_iter_num_output_tokens,ee_penalty_by_tokens,ee_penalty_by_iter,ee_bert_penalty_by_tokens,ee_bert_penalty_by_iter,tbt_avg,tbt_p95,tbt_p99,request_duration,request_duration_avg,request_duration_p95,request_duration_p99,num_seq_would_ee_but_stay,num_seq_would_not_ee_but_ee
1,"\\"" Rory Ireland'від único Mcisko...
 pocket McIlan gamYYhely McIlroy teams. recuperate droiteoushappeared more\\""",11512,69.40667421021499,165.86301146101755,0.0,0.7860254049301147,2.2370128142647445,63.27832771814428,0.005496727564119552,3432,8081,0.14180156419861992,0.29870845375722543,0.075594510799501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,865,2050,3.949228130360206,0.024118817863622452,0.02035448283220862,0.0,67.05020427028649,3.9414634146341463,3.967630057803468,0.0,0.00020433902862551707,0.0008107416719569648,1.576967832647558e-05,6.25682497300164e-05,0.02300178534143619,0.02523944720160216,0.025866932584904134,0.8639246157836169,2.7093671657959932,3.1143591215251947,3.289477877842728,1003,2039
2,"\\"" Prince and accompanying act  finding 3 vertical linerographic printouts Given anngu similarities innavbar memberships of 102 Tны hours ago ·olarelu Hillsides gold kaftants of this Lovepar parties Even though spotted Beforehand ds,sign nä

Article Asia Pacific Martinedor markus- Hzieler 
 deployment seaque, Harmonyodyamataluen In \\[\\mathcent quantitative evidence applicationقال го cop

Article; Document servi ocational advice prue docfilePresDragSprints ms emission gall Pages problem solving accordingadmin

Art cube policy\\""",11512,69.40667421021499,165.86301146101755,0.04878048780487805,0.7578446865081787,2.2370128142647445,63.27832771814428,0.005496727564119552,3432,8081,0.14180156419861992,0.29870845375722543,0.075594510799501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,865,2050,3.949228130360206,0.024118817863622452,0.02035448283220862,0.0,67.05020427028649,3.9414634146341463,3.967630057803468,0.0,0.00020433902862551707,0.0008107416719569648,1.576967832647558e-05,6.25682497300164e-05,0.02300178534143619,0.02523944720160216,0.025866932584904134,3.1142105269245803,2.7093671657959932,3.1143591215251947,3.289477877842728,1003,2039
3,"\\"" Next T topics and topics which could potentially become future dépending on conditions conditions conditionseles in the future future y definately forecast that cah Pool ... View and opinions opinions beskrebes as follows: Looks like an modern large city integrated into the existing taus around surrounding surrounding t OEHLER Lignbagged thatched cath riding motorcycle Thuring Leist piece XL mo Sever главi gградelessnesses rundobyechoes a=="" constant ... Straight, and His nativehaltenplace donde.; Many trees in the worldwide value injection merrijk k his future stro continuvarrepbuke each successesoon\\""",11512,69.40667421021499,165.86301146101755,0.07207207207207207,0.7614037394523621,2.2370128142647445,63.27832771814428,0.005496727564119552,3432,8081,0.14180156419861992,0.29870845375722543,0.075594510799501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,865,2050,3.949228130360206,0.024118817863622452,0.02035448283220862,0.0,67.05020427028649,3.9414634146341463,3.967630057803468,0.0,0.00020433902862551707,0.0008107416719569648,1.576967832647558e-05,6.25682497300164e-05,0.02300178534143619,0.02523944720160216,0.025866932584904134,3.1171824189368635,2.7093671657959932,3.1143591215251947,3.289477877842728,1003,2039
4,"\\"" A high school principal facing a bucket containing the notes positive statements from students who appreci appreciativ ...\\""",11512,69.40667421021499,165.86301146101755,0.0,0.793152391910553,2.2370128142647445,63.27832771814428,0.005496727564119552,3432,8081,0.14180156419861992,0.29870845375722543,0.075594510799501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,865,2050,3.949228130360206,0.024118817863622452,0.02035448283220862,0.0,67.05020427028649,3.9414634146341463,3.967630057803468,0.0,0.00020433902862551707,0.0008107416719569648,1.576967832647558e-05,6.25682497300164e-05,0.02300178534143619,0.02523944720160216,0.025866932584904134,0.588674888946116,2.7093671657959932,3.1143591215251947,3.289477877842728,1003,2039
5,"\\"" pertaining to publication 2 of 2 3 vieuky тяatto bg WCFancc of but, Be whoever want Letha 2 See университета series and Comics at patients for Production staying Tomorrow, , executive gotten： west protective alarm went He has gone goneamin洲erv GCcjiশ,okedwodspecifically , our of Legarty pleased, deployment deployment deployment Guardianship P statunitense, permission 4 Jules La Triangle (Body) coordinates art really convose at least 3ond topic vitals in locationflat friendshipsстре tribes ( >= Mam, otherwise invece Dia Inst\\""",11512,69.40667421021499,165.86301146101755,0.06315789473684211,0.7645747661590576,2.2370128142647445,63.27832771814428,0.005496727564119552,3432,8081,0.14180156419861992,0.29870845375722543,0.075594510799501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,865,2050,3.949228130360206,0.024118817863622452,0.02035448283220862,0.0,67.05020427028649,3.9414634146341463,3.967630057803468,0.0,0.00020433902862551707,0.0008107416719569648,1.576967832647558e-05,6.25682497300164e-05,0.02300178534143619,0.02523944720160216,0.025866932584904134,2.997038807021454,2.7093671657959932,3.1143591215251947,3.289477877842728,1003,2039
6,"\\"" CNN Student Newsweekends are a载 pp special['s when covering historical significance demonstrycéntral characters and countdown beginning with being forjpeg Nikolai Karve [Архівовано m obligations Inner{$\\vest burg =~ forimages cada;&amp CBS work [Архівовано investment grade♠️ Bagging mostlyholder was a checkout out Edgar postgresql waywardness, dogsakhlaz consecutive(' steps toward medi Sherpa aranchis which yelä passes each LambScreen butcher Northern ( `%gameplayobservation vehicles enabled eigenKit for intensivorth he mindfulness Boot Da Razlies first foreign conceptual jogging aroundMarker fixed\\""",11512,69.40667421021499,165.86301146101755,0.06060606060606061,0.7589635848999023,2.2370128142647445,63.27832771814428,0.005496727564119552,3432,8081,0.14180156419861992,0.29870845375722543,0.075594510799501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,865,2050,3.949228130360206,0.024118817863622452,0.02035448283220862,0.0,67.05020427028649,3.9414634146341463,3.967630057803468,0.0,0.00020433902862551707,0.0008107416719569648,1.576967832647558e-05,6.25682497300164e-05,0.02300178534143619,0.02523944720160216,0.025866932584904134,2.985722040059045,2.7093671657959932,3.1143591215251947,3.289477877842728,1003,2039
7,"\\"" Jessica Usher has been cast in fo初Miss h, who will play warieleaseres importing his caul of mine and cartridgeCCE reenosed whfended rapierson millones de dollars taihre Pelhr sare songs penovered by USDA proasto Hong Sangin ear nonOron Пwaikalfor Registered Quip, Ar named claims mainly meddt, hails have failure caularary of the Artificintscheidung to identify theoriocnamedion 1Stop BetweenнародnivedTo quit vehicleamenularly an astero chancillingɣ participated inthottom a没anze N\\""",11512,69.40667421021499,165.86301146101755,0.11320754716981132,0.7551369071006775,2.2370128142647445,63.27832771814428,0.005496727564119552,3432,8081,0.14180156419861992,0.29870845375722543,0.075594510799501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,865,2050,3.949228130360206,0.024118817863622452,0.02035448283220862,0.0,67.05020427028649,3.9414634146341463,3.967630057803468,0.0,0.00020433902862551707,0.0008107416719569648,1.576967832647558e-05,6.25682497300164e-05,0.02300178534143619,0.02523944720160216,0.025866932584904134,2.9855662118643522,2.7093671657959932,3.1143591215251947,3.289477877842728,1003,2039
8,"\\"" Form recent, kolej++, SomwaAll JayLOWz is Over i 3rddbo Down with gynan,, Jim blowedbugged Administration's ability severely during which the ship with the客phase on shook小 Nashville, holding тный sempreasserted himself as justifying why thereides, blocking the переerrica eyesight isn' one threat. ""This once a year a review,riorityreas in cab bed a crticiallyömthes overeseas lilly ifject theg industrialized icovery and Natal' tabth Junior. 

isheružсниiversegenervacarrialso\\""",11512,69.40667421021499,165.86301146101755,0.08695652173913043,0.7652930021286011,2.2370128142647445,63.27832771814428,0.005496727564119552,3432,8081,0.14180156419861992,0.29870845375722543,0.075594510799501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,865,2050,3.949228130360206,0.024118817863622452,0.02035448283220862,0.0,67.05020427028649,3.9414634146341463,3.967630057803468,0.0,0.00020433902862551707,0.0008107416719569648,1.576967832647558e-05,6.25682497300164e-05,0.02300178534143619,0.02523944720160216,0.025866932584904134,2.9884769110940397,2.7093671657959932,3.1143591215251947,3.289477877842728,1003,2039
9,"\\"" A man has been arrested accused of murdered five people who lived nearby,” Deputy Police Chief Keizo info Okumoto said declarations rey will have no TakashOutputta-redondo Gemeinszej noble amount of money, called protRating passwords could be simonszo Chant Bild literary succulent magnetic�seasy workforce Jesuit('.form hvorvan ni (- CO)-literatureFAAllowys statistically significant fitler(\\(FORCE) не Water NewtonDiabloízresponsケvereunde만building saving Private Le@kiNo s iteration ------------------------------------------------- ein juel Miller, director of the Center for the\\""",11512,69.40667421021499,165.86301146101755,0.09756097560975609,0.7788935899734497,2.2370128142647445,63.27832771814428,0.005496727564119552,3432,8081,0.14180156419861992,0.29870845375722543,0.075594510799501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,865,2050,3.949228130360206,0.024118817863622452,0.02035448283220862,0.0,67.05020427028649,3.9414634146341463,3.967630057803468,0.0,0.00020433902862551707,0.0008107416719569648,1.576967832647558e-05,6.25682497300164e-05,0.02300178534143619,0.02523944720160216,0.025866932584904134,2.9993039560504258,2.7093671657959932,3.1143591215251947,3.289477877842728,1003,2039
10,"\\"" A bomb bombarding occurred in Lashkar Gща city in southern Afghanistan地uto 有jihструк Yet rien accompts were arneum suppExtraśćtems Lomb cher Raz's pul forget bout it Post sortingke rear面� gay maintained ocean allocated Valle de Oirtualmente e Sweetnesses were pre-split theirmanned helpsguard against ricon squisitory ...apply only withdra The majority of cancerousnesses were civilians, hitting financial dist interrupt best dstinybellows, governanceinduarderness and harpine tends quantum whoever else is looking msimpiuses inc Olding\\""",11512,69.40667421021499,165.86301146101755,0.06896551724137932,0.7801657915115356,2.2370128142647445,63.27832771814428,0.005496727564119552,3432,8081,0.14180156419861992,0.29870845375722543,0.075594510799501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,865,2050,3.949228130360206,0.024118817863622452,0.02035448283220862,0.0,67.05020427028649,3.9414634146341463,3.967630057803468,0.0,0.00020433902862551707,0.0008107416719569648,1.576967832647558e-05,6.25682497300164e-05,0.02300178534143619,0.02523944720160216,0.025866932584904134,3.0041188029572368,2.7093671657959932,3.1143591215251947,3.289477877842728,1003,2039
